"barras"|"precio"|"operador"|"fecha_inicio"|"fecha_fin"|"observaciones"|"fecha"|"hora"|"vigente"|"clase"
"7798097690435"|589.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:03:47|N|1
"7791102048443"|890.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:14:13|N|1
"6000001058356"|2950.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:17:30|N|1
"0000000102474"|1150.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:17:42|N|1
"7792902000044"|998.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:17:49|N|1
"6000001007170"|2100.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:17:57|N|1
"6000001027352"|2250.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:18:05|N|1
"7798140400028"|798.40|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:18:13|N|1
"7798140400011"|798.40|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:18:22|N|1
"7790314000232"|2590.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:18:51|N|1
"7790703100321"|2590.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:18:59|N|1
"6000003579828"|3300.00|ADRIANR|2024-07-05|2024-07-11| |2024-07-03|13:19:09|N|1
"0000000284691"|318000.00|DARIOE|2024-07-05|2024-07-31| |2024-07-04|11:49:24|N|1
"3165140221641"|153700.00|DARIOE|2024-07-05|2024-07-31| |2024-07-04|11:51:18|N|1
"0000000063535"|61000.00|DARIOE|2024-07-05|2024-07-31| |2024-07-04|11:51:41|N|1
"0028877332840"|55100.00|DARIOE|2024-07-05|2024-07-31| |2024-07-04|11:52:08|N|1
"0000000954789"|37570.00|DARIOE|2024-07-05|2024-07-31| |2024-07-04|11:52:22|N|1
"6000001073274"|4796.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:27:06|N|1
"6000001074028"|7440.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:27:18|N|1
"0000000250013"|1860.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:27:34|N|1
"7790503000302"|900.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:27:44|N|1
"7790503000296"|900.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:27:51|N|1
"7790503000289"|900.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:27:58|N|1
"7790503199150"|900.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:28:05|N|1
"7790503000272"|900.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:28:12|N|1
"7790503199044"|900.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:28:20|N|1
"7792319003904"|5990.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:28:28|N|1
"7791813000013"|1436.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:28:38|N|1
"7791813077718"|1436.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:28:46|N|1
"7790950003055"|748.50|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:28:55|N|1
"0000000100209"|4900.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:29:11|N|1
"0000000213392"|7500.00|ROMANG|2024-07-05|2024-07-06| |2024-07-04|13:29:19|N|1
"6000001156298"|3300.00|ADRIANR|2024-07-06|2024-07-11| |2024-07-05|11:56:59|N|1
"0000000300341"|83800.00|DARIOE|2024-07-06|2024-07-31| |2024-07-05|15:08:54|N|1
"7891009870328"|95200.00|DARIOE|2024-07-06|2024-07-31| |2024-07-05|15:09:42|N|1
"7792350067682"|670.00|ROMANG|2024-07-09|2024-07-13| |2024-07-08|12:48:02|N|2
"0000000102809"|7300.00|ROMANG|2024-07-09|2024-07-31| |2024-07-08|12:55:25|N|1
"0000000102808"|7300.00|ROMANG|2024-07-09|2024-07-31| |2024-07-08|12:55:34|N|1
"0000000102490"|5398.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:25:41|N|1
"6000001072734"|5398.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:25:52|N|1
"0000000102721"|5398.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:26:01|N|1
"6000001070822"|6880.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:27:35|N|1
"0000000250014"|1720.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:27:50|N|1
"7790070621955"|998.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:28:01|N|1
"7790070622013"|998.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:28:10|N|1
"7790070622020"|998.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:28:18|N|1
"7790895005794"|2552.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:28:26|N|1
"7790895068096"|2552.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:28:39|N|1
"1007084789417"|1436.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:30:50|N|1
"1007084701235"|1436.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:31:01|N|1
"1007084703475"|1436.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:31:04|N|1
"0070847032861"|1436.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:31:10|N|1
"1007084703536"|1436.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:31:19|N|1
"1007084703703"|1436.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:31:23|N|1
"1007084702751"|1436.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:31:27|N|1
"1007084703123"|1436.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:31:32|N|1
"7798422620090"|1436.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:31:36|N|1
"7790950003055"|748.50|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:33:01|N|1
"7790314076855"|1990.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:33:15|N|1
"7792798014156"|1495.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:33:26|N|1
"6000001012716"|5750.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:33:36|N|1
"0000000213392"|9900.00|ROMANG|2024-07-12|2024-07-13| |2024-07-08|13:33:49|N|1
"7795194100072"|1098.00|ADRIANR|2024-07-14|2024-07-27| |2024-07-10|15:58:46|N|2
"7790123001109"|550.00|ADRIANR|2024-07-14|2024-07-27| |2024-07-10|15:59:00|N|2
"7790742348302"|1200.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:53:10|N|1
"7790742348203"|1200.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:53:18|N|1
"7790742348005"|1200.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:53:25|N|1
"7798140400035"|928.00|ADRIANR|2024-07-12|2024-07-26| |2024-07-11|07:53:46|N|1
"7790070621283"|1550.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:54:10|N|1
"7790070621306"|1550.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:54:11|N|1
"7790070621313"|1550.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:54:12|N|1
"7790070621276"|1550.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:54:13|N|1
"7790070621290"|1550.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:54:22|N|1
"7790070621269"|1550.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:54:34|N|1
"7795631000132"|1450.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:54:56|N|1
"7790387014617"|2984.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:55:05|N|1
"7798141972371"|792.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:55:17|N|1
"7798126071693"|620.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:55:32|N|1
"7798126073666"|620.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:55:35|N|1
"7794270000534"|1260.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:55:47|N|1
"7794270035444"|1260.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:55:56|N|1
"7794270035475"|1260.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:56:05|N|1
"7798153810012"|960.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:56:12|N|1
"7790070231666"|1636.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:56:22|N|1
"7794000596726"|924.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:56:34|N|1
"7794000004276"|924.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:56:49|N|1
"7794000596757"|924.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:57:03|N|1
"7794000004283"|924.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:57:10|N|1
"7794000596764"|924.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:57:17|N|1
"7794000004290"|924.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:57:24|N|1
"7794000006904"|1320.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:57:44|N|1
"7794000596573"|1320.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:57:51|N|1
"7794000002371"|1320.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:57:59|N|1
"7794000006881"|1320.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:58:12|N|1
"7794000006942"|1320.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:58:22|N|1
"7794000004238"|1320.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:58:31|N|1
"7794000596498"|1320.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:58:40|N|1
"7794000006898"|1320.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:58:48|N|1
"7794000005891"|866.25|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:59:19|N|1
"7794000005907"|866.25|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:59:25|N|1
"7794000005877"|866.25|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:59:26|N|1
"7794000596924"|866.25|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|07:59:33|N|1
"7790156000094"|1342.50|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:00:11|N|1
"7790156000193"|1342.50|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:00:17|N|1
"7790156000216"|1342.50|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:00:33|N|1
"7790156000056"|1342.50|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:00:45|N|1
"7790156000070"|1342.50|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:00:53|N|1
"7790895008498"|1432.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:01:13|N|1
"7790895640483"|1432.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:01:23|N|1
"7790895641237"|1432.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:01:30|N|1
"7790895640476"|1432.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:01:39|N|1
"7790895640490"|1432.00|ADRIANR|2024-07-12|2024-07-18| |2024-07-11|08:01:47|N|1
