"codigo"|"descripcion"|"departamento"|"seccion"|"rubro"|"habil"
39|CAMARAS BICICLETAS-MOTOS|10|7|2|S
39|SIN GRUPO - 39|21|14|3|S
40|VERIFICAR GRUPO 40|3|3|1|S
40|VERIFICAR GRUPO 40|5|7|2|S
40|VERIFICAR GRUPO 40|5|10|1|S
40|GRUPO 40|6|5|1|S
40|GRUPO 40|8|5|1|S
40|VERIFICAR GRUPO 40|8|8|2|S
40|CREMA ENJ.|9|3|1|S
40|GRUPO 40|10|6|1|S
40|CUBIERTAS BICICL.-MOTOS|10|7|2|S
40|VERIFICAR GRUPO 40|11|7|2|S
40|VERIFICAR GRUPO 40|13|8|2|S
40|VERIFICAR GRUPO 40|14|8|2|S
40|BEBEDERO DE CEMENTO|16|8|2|S
40|VERIFICAR GRUPO 40|25|8|2|S
41|VERIFICAR GRUPO 41|2|3|1|S
41|GRUPO 41|6|5|1|S
41|REFRACTARIOS.|6|8|2|S
41|PINZAS-ALICATES|7|7|2|S
41|GRUPO 41|8|5|1|S
41|DESODORANTE AMB.|12|3|1|S
