CódigoProducto,Descripción,FechaInicio_Oferta,FechaFin_Oferta,Precio,Sucursal
7790387014617,YERBA UNION 4 FLEX 1 KG.                          ,2024-08-23,2024-08-29,3400.0,1
7790387015317,YERBA MAÑANITA 4 FLEX 1KG.                        ,2024-08-16,2024-08-22,3400.0,1
7790503198627,GALLETAS DE ARROZ DOS HERMANOS 100G. CON SAL      ,2024-08-23,2024-08-29,750.0,1
7790503198634,GALLETAS DE ARROZ DOS HERMANOS 100G. SIN SAL      ,2024-08-23,2024-08-29,750.0,1
7790503198641,GALLETAS DE ARROZ DOS HERMANOS 100G. DULCES       ,2024-08-23,2024-08-29,750.0,1
7790503199044,SNACK DE ARROZ DOS HERMANOS 80G.SALAME            ,2024-08-06,2024-08-30,990.0,1
7790580126070,PREMEZCLA ARCOR SIN TACC BIZCOCHUELO VAINILLA 500G,2024-08-23,2024-08-29,3704.0,1
7790580126087,PREMEZCLA ARCOR SIN TACC BIZCOCHUELO CHOCOLATE 500,2024-08-24,2024-08-29,3704.0,1
7790580138738,HARINA MAIZ PRESTOPRONTA 490G.                    ,2024-08-02,2024-08-08,950.0,1
7790696055189,DURAZNO NATURAL P.PRECIO LIGHT 485G.              ,2024-08-09,2024-08-15,1650.0,1
7790703100321,VINO TINTO DON VALENTIN LACRADO 750               ,2024-08-02,2024-08-03,2390.0,1
7790703205293,VINO BLANCO NEW AGE 750ML.                        ,2024-08-02,2024-08-03,3150.0,1
7790742373809,CREMON LIGHT 280G                                 ,2024-08-23,2024-08-29,2030.0,1
7790742373908,CREMON ORIGINAL 280G.                             ,2024-08-23,2024-08-29,2030.0,1
7790787003518,ILOLAY CREM 290 GRS.                              ,2024-08-20,2024-08-21,1900.0,1
7790895000430,GASEOSA COCA COLA 1.5 LITRO                       ,2024-08-23,2024-08-24,2167.5,1
7790895004049,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO           ",2024-08-15,2024-08-16,1521.5,1
7790895004049,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO           ",2024-08-23,2024-08-24,1521.5,1
7790895005794,GASEOSA COCA COLA 2.500 CC.                       ,2024-08-09,2024-08-10,2961.0,1
7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-15,2024-08-16,1521.5,1
7790895008498,"AGUA SAB.AQUARIUS 1,500CC.LIMONADA                ",2024-08-23,2024-08-24,1521.5,1
7790895067556,GASEOSA COCA COLA ZERO 1.5 LT                     ,2024-08-23,2024-08-24,2167.5,1
7790895068096,GASEOSA COCA COLA ZERO 2500CC                     ,2024-08-09,2024-08-10,2961.0,1
7790895640476,"AGUA SAB.AQUARIUS 1,500CC.PERA                    ",2024-08-15,2024-08-16,1521.5,1
