codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,cantidad_ventas_normal,fechas_normal,aumento_ventas,cantidad_dias
64397,CONG.HAMBURGUESAS FRIAR 160G. CLASICAS COD.4309,FRIAR,Nogoya Italia,2024-08-16,2024-08-22,30.0,22,14,"2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06, 2024-08-13",57.14,5
64397,CONG.HAMBURGUESAS FRIAR 160G. CLASICAS COD.4309,FRIAR,Crespo,2024-08-16,2024-08-22,172.0,78,24,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",225.0,5
378340,CONGELATA RAVIOLES RICOTA 500G.,LA REINA,Hernandez,2024-08-16,2024-08-22,18.0,2,0,,,0
378340,CONGELATA RAVIOLES RICOTA 500G.,LA REINA,Nogoya Sur,2024-08-16,2024-08-22,34.0,1,4,"2024-08-03, 2024-08-10, 2024-08-24",-75.0,3
378340,CONGELATA RAVIOLES RICOTA 500G.,LA REINA,Crespo,2024-08-16,2024-08-22,56.0,5,6,"2024-08-10, 2024-08-26, 2024-08-29, 2024-08-30",-16.67,4
60558,CONGELATA RAVIOLES VERDURA 500G.,LA REINA,Crespo,2024-08-16,2024-08-22,41.0,11,6,"2024-08-05, 2024-08-10, 2024-08-13, 2024-08-24, 2024-08-26",83.33,5
60558,CONGELATA RAVIOLES VERDURA 500G.,LA REINA,Hernandez,2024-08-16,2024-08-22,13.0,5,1,2024-08-05,400.0,1
236100,CONIX JULICROC 70G.,JULI CROC,Hernandez,2024-08-23,2024-08-29,16.0,11,2,2024-08-31,450.0,1
236100,CONIX JULICROC 70G.,JULI CROC,Crespo,2024-08-23,2024-08-29,19.0,45,18,"2024-08-02, 2024-08-03, 2024-08-06, 2024-08-08, 2024-08-09",150.0,5
243057,COPOS DE MAIZ AZUCARADOS P.PRECIO 500G.,GENERAL CEREALS,Crespo,2024-08-09,2024-08-15,7.0,11,15,"2024-08-01, 2024-08-03, 2024-08-05, 2024-08-06, 2024-08-07",-26.67,5
