codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,Porcentaje_Vendido
103921,VACIO NOVILLO KG.,CARNE VACUNA,Nogoya Sur,2024-08-04,2024-08-06,-18.0,2,0.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Crespo,2024-08-04,2024-08-06,49.0,10,20.41
103921,VACIO NOVILLO KG.,CARNE VACUNA,Crespo,2024-08-02,2024-08-03,-144.0,288,0.0
103921,VACIO NOVILLO KG.,CARNE VACUNA,Nogoya Sur,2024-08-09,2024-08-10,-19.0,21,0.0
302050,VINO BLANCO CORDERO C/PIEL DE LOBO DULCE NAT.750ML,COSMOPOLITAN,Nogoya Sur,2024-08-30,2024-08-31,41.0,1,2.44
302050,VINO BLANCO CORDERO C/PIEL DE LOBO DULCE NAT.750ML,COSMOPOLITAN,Nogoya Italia,2024-08-30,2024-08-31,11.0,1,9.09
302050,VINO BLANCO CORDERO C/PIEL DE LOBO DULCE NAT.750ML,COSMOPOLITAN,Crespo,2024-08-30,2024-08-31,29.0,12,41.38
310548,VINO BLANCO NEW AGE 750ML.,BODEGA BIANCHI,Hernandez,2024-08-02,2024-08-03,22.0,4,18.18
310548,VINO BLANCO NEW AGE 750ML.,BODEGA BIANCHI,Crespo,2024-08-02,2024-08-03,21.0,8,38.1
290626,VINO BLANCO TRIBU DULCE 750CC,BODEGA TRIVENTO,Crespo,2024-08-02,2024-08-08,11.0,53,481.82
290626,VINO BLANCO TRIBU DULCE 750CC,BODEGA TRIVENTO,Nogoya Italia,2024-08-02,2024-08-08,12.0,3,25.0
281084,VINO BLANCO TRIVENTO CHARDONNAY 750CC,BODEGA TRIVENTO,Crespo,2024-08-02,2024-08-08,7.0,2,28.57
281085,VINO BLANCO TRIVENTO MALBEC 750CC,BODEGA TRIVENTO,Crespo,2024-08-02,2024-08-08,13.0,3,23.08
344119,VINO ROSADO CALLIA ROSADO DE SYRAH 750CC,BODEGA SALENTEIN,Crespo,2024-08-15,2024-08-16,18.0,1,5.56
301959,VINO ROSADO TRIVENTO ROSE MALBEC 750CC,BODEGA TRIVENTO,Crespo,2024-08-02,2024-08-08,9.0,2,22.22
334552,VINO TINTO 1492 MALBEC 750ML.,BODEGA DON CRISTOBAL,Crespo,2024-08-02,2024-08-03,21.0,1,4.76
334552,VINO TINTO 1492 MALBEC 750ML.,BODEGA DON CRISTOBAL,Hernandez,2024-08-02,2024-08-03,17.0,1,5.88
31262,VINO TINTO CALLIA MALBEC 750CC,BODEGA SALENTEIN,Crespo,2024-08-15,2024-08-16,19.0,5,26.32
693161,VINO TINTO CALLIA SYRAH 750 C.C.,BODEGA SALENTEIN,Crespo,2024-08-15,2024-08-16,9.0,2,22.22
693208,VINO TINTO CALLIA SYRAH CABERNET750,BODEGA SALENTEIN,Crespo,2024-08-15,2024-08-16,17.0,2,11.76
693178,VINO TINTO CALLIA SYRAH-MALBEC 750C,BODEGA SALENTEIN,Crespo,2024-08-15,2024-08-16,11.0,7,63.64
693178,VINO TINTO CALLIA SYRAH-MALBEC 750C,BODEGA SALENTEIN,Nogoya Sur,2024-08-15,2024-08-16,15.0,2,13.33
83076,VINO TINTO DON VALENTIN LACRADO 750,BODEGA BIANCHI,Hernandez,2024-08-02,2024-08-03,66.0,28,42.42
83076,VINO TINTO DON VALENTIN LACRADO 750,BODEGA BIANCHI,Nogoya Italia,2024-08-02,2024-08-03,50.0,14,28.0
83076,VINO TINTO DON VALENTIN LACRADO 750,BODEGA BIANCHI,Nogoya Sur,2024-08-02,2024-08-03,4.0,15,375.0
83076,VINO TINTO DON VALENTIN LACRADO 750,BODEGA BIANCHI,Crespo,2024-08-02,2024-08-03,20.0,55,275.0
30703,VINO TINTO ETNIA MALBEC 750CC,BODEGA TOTALS,Crespo,2024-08-30,2024-08-31,120.0,26,21.67
30703,VINO TINTO ETNIA MALBEC 750CC,BODEGA TOTALS,Hernandez,2024-08-30,2024-08-31,54.0,13,24.07
30703,VINO TINTO ETNIA MALBEC 750CC,BODEGA TOTALS,Nogoya Italia,2024-08-30,2024-08-31,9.0,6,66.67
30703,VINO TINTO ETNIA MALBEC 750CC,BODEGA TOTALS,Nogoya Sur,2024-08-30,2024-08-31,62.0,8,12.9
334550,VINO TINTO JUAN CRISTOBAL MALBEC 750ML.,BODEGA DON CRISTOBAL,Nogoya Italia,2024-08-09,2024-08-10,11.0,1,9.09
334550,VINO TINTO JUAN CRISTOBAL MALBEC 750ML.,BODEGA DON CRISTOBAL,Crespo,2024-08-09,2024-08-10,51.0,5,9.8
286736,VINO TINTO NACIDO Y CRIADO MALBEC 750CC,RESERO,Nogoya Italia,2024-08-23,2024-08-24,21.0,4,19.05
286736,VINO TINTO NACIDO Y CRIADO MALBEC 750CC,RESERO,Nogoya Sur,2024-08-23,2024-08-24,23.0,3,13.04
286736,VINO TINTO NACIDO Y CRIADO MALBEC 750CC,RESERO,Crespo,2024-08-23,2024-08-24,16.0,27,168.75
286736,VINO TINTO NACIDO Y CRIADO MALBEC 750CC,RESERO,Hernandez,2024-08-23,2024-08-24,22.0,3,13.64
82392,VINO TINTO RESERO 1125CC,RESERO,Nogoya Sur,2024-08-02,2024-08-08,275.0,10,3.64
