codigo,barras,descripcion,fecha_inicio,fecha_fin,porcentaje_descuento,sucursal,stock
389278.0,7790895004049,"AGUA SAB.AQUARIUS 1,500CC.POMELO ROSADO           ",2024-08-15,2024-08-16,,Nogoya Italia,10.0
395517.0,7794690000039,ALIMENTO CHOCOLATE QUILLA 200 GR                  ,2024-08-02,2024-08-10,16.67,Crespo,122.0
395517.0,7794690000039,ALIMENTO CHOCOLATE QUILLA 200 GR                  ,2024-08-02,2024-08-10,16.67,Nogoya Italia,0.0
395517.0,7794690000039,ALIMENTO CHOCOLATE QUILLA 200 GR                  ,2024-08-02,2024-08-10,16.67,Nogoya Sur,115.0
395517.0,7794690000039,ALIMENTO CHOCOLATE QUILLA 200 GR                  ,2024-08-02,2024-08-10,16.67,Hernandez,25.0
8424.0,7794690000022,ALIMENTO CHOCOLATE QUILLA 450G                    ,2024-08-02,2024-08-10,16.47,Crespo,77.0
8424.0,7794690000022,ALIMENTO CHOCOLATE QUILLA 450G                    ,2024-08-02,2024-08-10,16.47,Nogoya Italia,9.0
8424.0,7794690000022,ALIMENTO CHOCOLATE QUILLA 450G                    ,2024-08-02,2024-08-10,16.47,Hernandez,24.0
8424.0,7794690000022,ALIMENTO CHOCOLATE QUILLA 450G                    ,2024-08-02,2024-08-10,16.47,Nogoya Sur,141.0
8431.0,7794690000015,ALIMENTO CHOCOLATE QUILLA 900G                    ,2024-08-02,2024-08-10,16.22,Nogoya Sur,0.0
8431.0,7794690000015,ALIMENTO CHOCOLATE QUILLA 900G                    ,2024-08-02,2024-08-10,16.22,Nogoya Italia,1.0
8431.0,7794690000015,ALIMENTO CHOCOLATE QUILLA 900G                    ,2024-08-02,2024-08-10,16.22,Hernandez,10.0
8431.0,7794690000015,ALIMENTO CHOCOLATE QUILLA 900G                    ,2024-08-02,2024-08-10,16.22,Crespo,51.0
202227.0,7798153810500,ALIMENTO CHOCOLATE TODDY 360G. EXTREMO            ,2024-08-02,2024-08-08,13.24,Nogoya Italia,0.0
202227.0,7798153810500,ALIMENTO CHOCOLATE TODDY 360G. EXTREMO            ,2024-08-02,2024-08-08,13.24,Nogoya Sur,0.0
202227.0,7798153810500,ALIMENTO CHOCOLATE TODDY 360G. EXTREMO            ,2024-08-02,2024-08-08,13.24,Crespo,74.0
202227.0,7798153810500,ALIMENTO CHOCOLATE TODDY 360G. EXTREMO            ,2024-08-02,2024-08-08,13.24,Hernandez,12.0
